station,lat,lon,RUBISCO,PEPC,GOT,PEPCK,MDH_NAD,MDH_NADP,MDC_NADP,MDC_NAD,GPT_GGAT,PEPDK
139,6.4998,-94.9527,2.0656124810597955e-6,4.5300881615023406e-4,6.89541640381637e-5,1.6325502094480776e-5,3.1639602855603475e-4,1.4339266261679693e-5,3.992402711513367e-4,3.291860173232684e-4,1.0783383464444292e-4,4.4276504033440915e-5
140,7.4122,-79.3017,3.6943053185670374e-5,1.5084022525530972e-4,1.0662994303814383e-4,1.8370752363501417e-5,1.35506139570432e-4,4.0596936481317524e-5,1.3375012611444143e-4,1.676207895100139e-5,2.1330487062425755e-4,7.030757634236214e-5
141,9.8481,-80.0454,2.0700179542778887e-5,7.381045981546801e-5,6.123676304897983e-5,2.773984898876283e-5,2.4539330022540183e-4,7.232870548366953e-5,1.268960864915263e-4,4.746845102310613e-6,1.1109356927305551e-4,4.851471653911548e-5
142,25.6236,-88.45,1.3656741655802408e-5,3.495355278202548e-5,1.0958994465381043e-4,7.955951492762612e-6,5.735226511750177e-5,2.8129281401656813e-5,5.8434392208917596e-05,6.1120305801130345e-6,8.216648785910545e-5,1.641939898699416e-5
143,29.6394,-79.5395,1.4985842157103493e-5,5.855548558843858e-5,6.653577212654354e-5,2.6244231529376036e-5,4.984886523588165e-5,9.759063021608694e-7,4.7717549487731626e-5,4.794597259204621e-6,6.633056466323563e-5,1.4932566371053843e-5
145,39.2305,-70.0377,2.5125281399005785e-4,5.489458048884329e-5,1.075437773375236e-4,2.3797405326037056e-5,1.552085947787693e-4,2.9927699688984306e-5,2.4124199222822884e-4,1.3636044304418814e-4,1.9875252911930974e-4,1.2165095439211443e-4
146,34.6712,-71.3093,1.5160151890549652e-4,6.51050986533783e-5,1.1673878810120534e-4,1.863846946513218e-5,1.9610332508321595e-4,5.4341019151172436e-5,2.143214817218991e-4,9.391341070970307e-5,7.876554443830573e-5,5.2887824598540976e-5
147,33.061,-66.5435,1.0478268669438347e-4,6.902798898436985e-5,9.817026669669911e-5,1.9834002555223147e-5,1.7140479783905847e-4,4.7402659316935e-5,1.525527078503111e-4,4.3726708835298415e-5,8.407287626460474e-5,5.2566642994524904e-05
148,31.6948,-64.2489,5.103702057331493e-5,5.7338599997434724e-5,1.165144009943515e-4,1.8389550755199726e-5,9.755768291679782e-5,2.8792124494273795e-5,9.556294807169429e-5,2.5210078901680668e-5,8.760515210303171e-5,3.3788751132387404e-5
149,34.0964,-49.8906,1.1793533142247353e-4,6.6786147963982e-5,1.0515466253988004e-4,2.743889636458851e-5,1.4374030988732224e-4,4.8556888495306734e-5,1.8454937091960154e-4,6.179254441084818e-5,1.4849582062003325e-4,7.01815270499332e-5
150,35.9346,-37.3032,7.796104369830879e-5,4.733355243503938e-5,1.549184820939293e-4,2.0758860608669324e-5,8.389900000388835e-5,1.959714311490804e-5,8.809812401849533e-5,4.4566804924117376e-5,8.200592602512095e-5,3.831220149485915e-5
151,36.1375,-28.935,9.135264649000552e-5,5.04010100432254e-5,1.4145578510084135e-4,1.8598986050976954e-5,7.0667862661851e-5,2.0785137312179844e-5,1.1994779773334068e-4,5.197308620370024e-5,1.118968367988264e-4,5.396364025977308e-5
152,43.6792,-16.8344,7.816884101262108e-5,2.0622632350914688e-4,9.663267225878918e-5,3.180604869983565e-5,1.7928095622524645e-4,4.891823900411671e-5,1.547992507418831e-4,1.2815956811752848e-4,1.527751704280009e-4,6.093512223125404e-5
